"","GEOID","r_stat"
"499","04021000321","Neither"
"500","04021001712","Neither"
"501","04021001715","Neither"
"502","04021941401","Neither"
"503","04021000806","Neither"
"504","04021000229","Neither"
"505","04021000325","Neither"
"506","04021000324","Neither"
"507","04021000223","Neither"
"508","04021001308","Neither"
"509","04019004650","Neither"
"510","04019004728","Neither"
"511","04019004727","Neither"
"512","04019004339","Neither"
"513","04019004435","Neither"
"514","04019004340","Neither"
"515","04019004440","Neither"
"516","04019004436","Neither"
"517","04019004439","Neither"
"518","04019004649","Neither"
"519","04005001104","Neither"
"520","04005000902","Neither"
"521","04005002202","Neither"
"522","04005000901","Neither"
"523","04013116611","Neither"
"524","04013116612","Neither"
"525","04027000907","Neither"
"526","04013092720","Neither"
"527","04013116732","Neither"
"528","04013813800","Neither"
"529","04027980006","Neither"
"530","04027011114","Neither"
"531","04013061031","Neither"
"532","04013061043","Neither"
"533","04013817400","Neither"
"534","04013612500","Neither"
"535","04013817500","Neither"
"536","04027000404","Neither"
"537","04027001001","Neither"
"538","04027010907","Neither"
"539","04013040522","Neither"
"540","04013610902","Neither"
"541","04013082212","Neither"
"542","04013040541","Neither"
"543","04013816904","Neither"
"544","04013816005","Neither"
"545","04013815601","Neither"
"546","04013814801","Neither"
"547","04013216856","Neither"
"548","04013040533","Neither"
"549","04013040535","Neither"
"550","04013816901","Neither"
"551","04013817101","Neither"
"552","04013615201","Neither"
"553","04013612301","Neither"
"554","04013817103","Neither"
"555","04013040537","Neither"
"556","04013040540","Neither"
"557","04013050620","Neither"
"558","04013050616","Neither"
"559","04013061056","Neither"
"560","04013061059","Neither"
"561","04013050614","Neither"
"562","04013061057","Neither"
"563","04013061060","Neither"
"564","04013061058","Neither"
"565","04013612402","Neither"
"566","04013610001","Neither"
"567","04013612401","Neither"
"568","04013112518","Neither"
"569","04013050613","Neither"
"570","04013610903","Neither"
"571","04013040532","Neither"
"572","04013061050","Neither"
"573","04013112516","Neither"
"574","04013112517","Neither"
"575","04013050617","Neither"
"576","04013980900","Neither"
"577","04013723311","Neither"
"578","04013040536","Neither"
"579","04013050621","Neither"
"580","04013050615","Neither"
"581","04013610002","Neither"
"582","04013050619","Neither"
"583","04013050612","Neither"
"584","04013815602","Neither"
"585","04013610301","Neither"
"586","04013816402","Neither"
"587","04013816004","Neither"
"588","04013815201","Neither"
"589","04013610201","Neither"
"590","04013422652","Neither"
"591","04013610202","Neither"
"592","04013040538","Neither"
"593","04013112515","Neither"
"594","04013814802","Neither"
"595","04013816502","Neither"
"596","04013816902","Neither"
"597","04013040539","Neither"
"598","04013010103","Neither"
"599","04021000215","Neither"
"600","04021000316","Neither"
"601","04021000802","Neither"
"602","04021000307","Neither"
"603","04021000604","Neither"
"604","04021002001","Neither"
"605","04021001303","Neither"
"606","04021941300","Neither"
"607","04021000204","Neither"
"608","04013109603","Neither"
"609","04019004642","Neither"
"610","04019004425","Neither"
"611","04019004062","Neither"
"612","04019004114","Neither"
"613","04019004423","Neither"
"614","04019004431","Neither"
"615","04019004641","Neither"
"616","04013040516","Neither"
"617","04013050609","Neither"
"618","04013050604","Neither"
"619","04013010102","Neither"
"620","04013030402","Neither"
"621","04013040515","Neither"
"622","04013420110","Neither"
"623","04013817200","Neither"
"624","04013723306","Neither"
"625","04013817600","Neither"
"626","04013610100","Neither"
"627","04013610500","Neither"
"628","04013610600","Neither"
"629","04013610800","Neither"
"630","04013723304","Neither"
"631","04013723307","Neither"
"632","04021000309","Neither"
"633","04013116619","Neither"
"634","04019004081","Neither"
"635","04019004648","Neither"
"636","04019004132","Neither"
"637","04019004434","Neither"
"638","04019980300","Neither"
"639","04019004082","Neither"
"640","04019004133","Neither"
"641","04019004131","Neither"
"642","04019004433","Neither"
"643","04019002507","Neither"
"644","04027011116","Neither"
"645","04027010915","Neither"
"646","04027010916","Neither"
"647","04027011124","Neither"
