"","GEOID","r_stat"
"539","04013610903","Neither"
"540","04013040532","Neither"
"541","04013112516","Neither"
"542","04013050617","Neither"
"543","04013980900","Neither"
"544","04013723311","Neither"
"545","04013040536","Neither"
"546","04013050621","Neither"
"547","04013050615","Neither"
"548","04013610002","Neither"
"549","04013050619","Neither"
"550","04013050612","Neither"
"551","04013040538","Neither"
"552","04013112515","Neither"
"553","04013816902","Neither"
"554","04013040539","Neither"
"555","04013010103","Neither"
"556","04021000215","Neither"
"557","04021000316","Neither"
"558","04021000802","Neither"
"559","04021000307","Neither"
"560","04021000604","Neither"
"561","04021002001","Neither"
"562","04021001303","Neither"
"563","04021941300","Neither"
"564","04021000204","Neither"
"565","04013109603","Neither"
"566","04019004425","Neither"
"567","04019004062","Neither"
"568","04019004114","Neither"
"569","04019004423","Neither"
"570","04019004431","Neither"
"571","04019004641","Neither"
"572","04013040516","Neither"
"573","04013050609","Neither"
"574","04013050604","Neither"
"575","04013010102","Neither"
"576","04013030402","Neither"
"577","04013040515","Neither"
"578","04013420110","Neither"
"579","04013817200","Neither"
"580","04013723306","Neither"
"581","04013817600","Neither"
"582","04013610100","Neither"
"583","04013610500","Neither"
"584","04013610600","Neither"
"585","04013610800","Neither"
"586","04013723304","Neither"
"587","04013723307","Neither"
"588","04019004063","Neither"
"589","04019004424","Neither"
"590","04013216809","Neither"
"591","04019004645","Neither"
"592","04013071600","Neither"
"593","04013421101","Neither"
"594","04013216819","Neither"
"595","04015953200","Neither"
"596","04013941300","Neither"
"597","04013050603","Neither"
"598","04013941000","Neither"
"599","04013941200","Neither"
"600","04021001500","Neither"
"601","04021001600","Neither"
"602","04015952600","Neither"
"603","05007021406","Neither"
"604","05007021308","Neither"
"605","05031001101","Neither"
"606","05031001102","Neither"
"607","05031000806","Neither"
"608","05031000702","Neither"
"609","05031000701","Neither"
"610","05031000803","Neither"
"611","05031000804","Neither"
"612","05131001310","Neither"
"613","05131001307","Neither"
"614","05131001308","Neither"
"615","05131001311","Neither"
"616","05131001306","Neither"
"617","05035030602","Neither"
"618","05007020905","Neither"
"619","05007020904","Neither"
"620","05007020906","Neither"
"621","05007021317","Neither"
"622","05007021316","Neither"
"623","05007021315","Neither"
"624","05033020207","Neither"
"625","05033020602","Neither"
"626","05033020601","Neither"
"627","05033020208","Neither"
"628","05125010520","Neither"
"629","05125010410","Neither"
"630","05125010411","Neither"
"631","05125010518","Neither"
"632","05143010113","Neither"
"633","05143011005","Neither"
"634","05143010511","Neither"
"635","05143010109","Neither"
"636","05143011107","Neither"
"637","05143010515","Neither"
"638","05143011006","Neither"
"639","05143010518","Neither"
"640","05143010517","Neither"
"641","05143011106","Neither"
"642","05143011105","Neither"
"643","05143010512","Neither"
"644","05143010519","Neither"
"645","05143010303","Neither"
"646","05143010108","Neither"
"647","05143010305","Neither"
"648","05143010520","Neither"
"649","05131010201","Neither"
"650","05085020206","Neither"
"651","05131001301","Neither"
"652","05007020806","Neither"
"653","05131010301","Neither"
"654","05131001305","Neither"
"655","05131010101","Neither"
"656","05131001102","Neither"
"657","05125010106","Neither"
"658","05125010513","Neither"
"659","05125010602","Neither"
"660","05125010601","Neither"
"661","05119003001","Neither"
"662","05007021306","Neither"
"663","05119004213","Neither"
"664","05007021304","Neither"
"665","05033020401","Neither"
"666","05119003607","Neither"
"667","05119003608","Neither"
"668","05119004007","Neither"
"669","05119004205","Neither"
"670","05119003609","Neither"
"671","05119003707","Neither"
"672","05119004004","Neither"
"673","05119004902","Neither"
"674","05119004310","Neither"
"675","05119003405","Neither"
"676","05119003406","Neither"
"677","05119980300","Neither"
"678","05119980400","Neither"
"679","05119980100","Neither"
"680","05119004307","Neither"
"681","05119004309","Neither"
"682","05119004225","Neither"
"683","05119004226","Neither"
"684","05119004224","Neither"
"685","05119004901","Neither"
"686","05119004311","Neither"
"687","05119004308","Neither"
"688","05045031006","Neither"
"689","05085020202","Neither"
"690","05085020103","Neither"
"691","05085020201","Neither"
"692","05085020204","Neither"
"693","05085020102","Neither"
"694","05045031003","Neither"
"695","05119001600","Neither"
"696","05119002700","Neither"
"697","05119003100","Neither"
"698","05119002500","Neither"
"699","05119003606","Neither"
"700","05119003800","Neither"
"701","05119004302","Neither"
"702","05031000401","Neither"
"703","05031000501","Neither"
"704","05029950500","Neither"
"705","05045031008","Neither"
"706","05045030503","Neither"
"707","05045030504","Neither"
"708","05031000502","Neither"
"709","05119004400","Neither"
"710","05007021408","Neither"
"711","05007020803","Neither"
"712","05125010407","Neither"
"713","05125010511","Neither"
"714","05125010303","Neither"
"715","05125010512","Neither"
"716","05125010508","Neither"
"717","05125010509","Neither"
"718","05033020204","Neither"
"719","05007020304","Neither"
"720","05033020302","Neither"
"721","05033020502","Neither"
"722","05033020501","Neither"
"723","05143010501","Neither"
"724","05045031101","Neither"
"725","05045030404","Neither"
"726","05045031102","Neither"
"727","05045030401","Neither"
"728","05045030402","Neither"
"729","05045031001","Neither"
"730","05045030403","Neither"
"731","05045030301","Neither"
"732","05125010408","Neither"
"733","05143010101","Neither"
"734","05143011003","Neither"
"735","05085020108","Neither"
"736","05085020105","Neither"
"737","05085020106","Neither"
"738","05119004005","Neither"
"739","05119004106","Neither"
"740","05119003604","Neither"
"741","05119002600","Neither"
"742","05119004104","Neither"
"743","05119003404","Neither"
"744","05119004001","Neither"
"745","05119004006","Neither"
"746","05119004105","Neither"
"747","05119004201","Neither"
"748","05119003900","Neither"
"749","05119003605","Neither"
"750","05119004202","Neither"
"751","05035030702","Neither"
"752","05035030806","Neither"
"753","05035030703","Neither"
"754","05035030807","Neither"
"755","05035030803","Neither"
"756","05035030201","Neither"
"757","05035030301","Neither"
"758","05143010508","Neither"
"759","05031001200","Neither"
"760","05031000900","Neither"
"761","05031000601","Neither"
"762","05007020201","Neither"
"763","05007020501","Neither"
"764","05085020205","Neither"
"765","05119003713","Neither"
"766","05125010409","Neither"
"767","05035030202","Neither"
"768","05119004218","Neither"
"769","05007020205","Neither"
"770","05119001502","Neither"
"771","05007020102","Neither"
"772","05007020704","Neither"
"773","05007020701","Neither"
"774","05007020805","Neither"
"775","05007020703","Neither"
"776","05007020206","Neither"
"777","05007021407","Neither"
"778","05007020203","Neither"
"779","05007021305","Neither"
"780","05007020606","Neither"
"781","05007020605","Neither"
"782","05007020801","Neither"
"783","05007021404","Neither"
"784","06037460101","Neither"
"785","06095252204","Neither"
"786","06095252203","Neither"
"787","06095253501","Neither"
"788","06095252205","Neither"
"789","06095252206","Neither"
"790","06095253207","Neither"
"791","06087120901","Neither"
"792","06087120902","Neither"
"793","06087121601","Neither"
"794","06087122401","Neither"
"795","06087121602","Neither"
"796","06087110202","Neither"
"797","06087110401","Neither"
"798","06087122205","Neither"
"799","06047001007","Neither"
"800","06047002601","Neither"
"801","06047000904","Neither"
"802","06047000903","Neither"
"803","06047001008","Neither"
"804","06047001604","Neither"
"805","06047002602","Neither"
"806","06013345204","Neither"
"807","06013345203","Neither"
"808","06037920339","Neither"
"809","06113011208","Neither"
"810","06037800406","Neither"
"811","06037800410","Neither"
"812","06037800504","Neither"
"813","06037800506","Neither"
"814","06067009336","Neither"
"815","06067008803","Neither"
"816","06067007026","Neither"
"817","06067008706","Neither"
"818","06067008602","Neither"
"819","06001451103","Neither"
"820","06001451104","Neither"
"821","06001444304","Neither"
"822","06113011207","Neither"
"823","06039000511","Neither"
"824","06039000517","Neither"
"825","06039000515","Neither"
"826","06031000100","Neither"
"827","06031001200","Neither"
"828","06001450608","Neither"
"829","06001420402","Neither"
"830","06047001603","Neither"
"831","06007001602","Neither"
"832","06007000404","Neither"
"833","06031000500","Neither"
"834","06031000701","Neither"
"835","06031000702","Neither"
"836","06031000800","Neither"
"837","06087121501","Neither"
"838","06087122402","Neither"
"839","06087121801","Neither"
"840","06087110504","Neither"
"841","06087110101","Neither"
"842","06031001003","Neither"
"843","06031001100","Neither"
"844","06065042212","Neither"
"845","06065042719","Neither"
"846","06065042723","Neither"
"847","06037930400","Neither"
"848","06037920326","Neither"
"849","06037460001","Neither"
"850","06037980028","Neither"
"851","06037980030","Neither"
"852","06037408703","Neither"
"853","06037910218","Neither"
"854","06037430501","Neither"
"855","06067009005","Neither"
"856","06037920106","Neither"
"857","06095980000","Neither"
"858","06001451501","Neither"
"859","06067008802","Neither"
"860","06037500300","Neither"
"861","06037403325","Neither"
"862","06065044104","Neither"
"863","06065042007","Neither"
"864","06087122100","Neither"
"865","06087122500","Neither"
"866","06111007405","Neither"
"867","06111007511","Neither"
"868","06111007512","Neither"
"869","06107003501","Neither"
"870","06059062649","Neither"
"871","06041131100","Neither"
"872","06111007509","Neither"
"873","06111007613","Neither"
"874","06111007614","Neither"
"875","06065045124","Neither"
"876","06065046700","Neither"
"877","06037501600","Neither"
"878","06037501501","Neither"
"879","06065941200","Neither"
"880","06065941500","Neither"
"881","06065042744","Neither"
"882","06065043235","Neither"
"883","06065043278","Neither"
"884","06065940400","Neither"
"885","06065940600","Neither"
"886","06065043279","Neither"
"887","06037800202","Neither"
"888","06077005004","Neither"
"889","06077005122","Neither"
"890","06077003700","Neither"
"891","06077003803","Neither"
"892","06077004001","Neither"
"893","06077003900","Neither"
"894","06097151405","Neither"
"895","06097152401","Neither"
"896","06097151205","Neither"
"897","06097153405","Neither"
"898","06037670604","Neither"
"899","06107001400","Neither"
"900","06037920040","Neither"
"901","06095250701","Neither"
"902","06077005106","Neither"
"903","06077005119","Neither"
"904","06077004202","Neither"
"905","06001435104","Neither"
"906","06061023501","Neither"
"907","06107001705","Neither"
"908","06017030902","Neither"
"909","06017030601","Neither"
"910","06017030801","Neither"
"911","06037800101","Neither"
"912","06037800328","Neither"
"913","06107003002","Neither"
"914","06107001602","Neither"
"915","06107003902","Neither"
"916","06107002006","Neither"
"917","06107002100","Neither"
"918","06107003100","Neither"
"919","06017030712","Neither"
"920","06017030812","Neither"
"921","06081611500","Neither"
"922","06081611600","Neither"
"923","06095251803","Neither"
"924","06095251804","Neither"
"925","06037400209","Neither"
"926","06037900901","Neither"
"927","06037900902","Neither"
"928","06065044505","Neither"
"929","06037901300","Neither"
"930","06037621005","Neither"
"931","06107000902","Neither"
"932","06107000901","Neither"
"933","06107000802","Neither"
"934","06107002402","Neither"
"935","06107002403","Neither"
"936","06107001008","Neither"
"937","06107001306","Neither"
"938","06107002010","Neither"
"939","06107002401","Neither"
"940","06107003401","Neither"
"941","06107003302","Neither"
"942","06097153406","Neither"
"943","06097152601","Neither"
"944","06037297501","Neither"
"945","06037910213","Neither"
"946","06037911100","Neither"
"947","06037901216","Neither"
"948","06107003602","Neither"
"949","06107003700","Neither"
"950","06037920109","Neither"
"951","06037135205","Neither"
"952","06083002410","Neither"
"953","06083002503","Neither"
"954","06083002934","Neither"
"955","06083002409","Neither"
"956","06083980300","Neither"
"957","06083002307","Neither"
"958","06081612500","Neither"
"959","06107004102","Neither"
"960","06099003300","Neither"
"961","06099003603","Neither"
"962","06097153301","Neither"
"963","06097152602","Neither"
"964","06097151506","Neither"
"965","06097152402","Neither"
"966","06097150501","Neither"
"967","06097153905","Neither"
"968","06097151403","Neither"
"969","06097153712","Neither"
"970","06097153601","Neither"
"971","06097153810","Neither"
"972","06097153904","Neither"
"973","06097153811","Neither"
"974","06097151206","Neither"
"975","06099000102","Neither"
"976","06099000302","Neither"
"977","06099000501","Neither"
"978","06037800412","Neither"
"979","06107001012","Neither"
"980","06107003301","Neither"
"981","06107004302","Neither"
"982","06107002011","Neither"
"983","06107001303","Neither"
"984","06071000804","Neither"
"985","06037910401","Neither"
"986","06095252000","Neither"
"987","06071010009","Neither"
"988","06071011500","Neither"
"989","06071011700","Neither"
"990","06115040702","Neither"
"991","06115040701","Neither"
"992","06115041001","Neither"
"993","06115040202","Neither"
"994","06037920200","Neither"
"995","06099000301","Neither"
"996","06099000403","Neither"
"997","06099000404","Neither"
"998","06099000505","Neither"
"999","06099000601","Neither"
"1000","06107001706","Neither"
"1001","06107003504","Neither"
"1002","06107003503","Neither"
"1003","06107003903","Neither"
"1004","06107001304","Neither"
"1005","06107004301","Neither"
"1006","06107003402","Neither"
"1007","06037800411","Neither"
"1008","06081612600","Neither"
"1009","06095252402","Neither"
"1010","06037800104","Neither"
"1011","06029004606","Neither"
"1012","06019001700","Neither"
"1013","06019005904","Neither"
"1014","06073017303","Neither"
"1015","06019004301","Neither"
"1016","06019001600","Neither"
"1017","06019005503","Neither"
"1018","06037920042","Neither"
"1019","06019001500","Neither"
"1020","06019007600","Neither"
"1021","06019003900","Neither"
"1022","06099003700","Neither"
"1023","06079012306","Neither"
"1024","06097150502","Neither"
"1025","06097151505","Neither"
"1026","06077005223","Neither"
"1027","06077005222","Neither"
"1028","06077005139","Neither"
"1029","06077004107","Neither"
"1030","06077003219","Neither"
"1031","06077004004","Neither"
"1032","06081604400","Neither"
"1033","06081605100","Neither"
"1034","06077005138","Neither"
"1035","06077004906","Neither"
"1036","06077004905","Neither"
"1037","06037800103","Neither"
"1038","06077005503","Neither"
"1039","06077005214","Neither"
"1040","06077005213","Neither"
"1041","06077005212","Neither"
"1042","06077004108","Neither"
"1043","06077003502","Neither"
"1044","06077005221","Neither"
"1045","06077003501","Neither"
"1046","06077005225","Neither"
"1047","06095252909","Neither"
"1048","06029003220","Neither"
"1049","06029003222","Neither"
"1050","06029004607","Neither"
"1051","06029001001","Neither"
"1052","06029002401","Neither"
"1053","06029006600","Neither"
"1054","06029002403","Neither"
"1055","06089011100","Neither"
"1056","06073003800","Neither"
"1057","06083002015","Neither"
"1058","06037910815","Neither"
"1059","06037460601","Neither"
"1060","06073013317","Neither"
"1061","06073007304","Neither"
"1062","06073021306","Neither"
"1063","06081605400","Neither"
"1064","06095253101","Neither"
"1065","06095253201","Neither"
"1066","06089012000","Neither"
"1067","06037920049","Neither"
